,X,Y,Z,val,gx,gy,gz,
0,0,10,5.102040816,0,0.00223898,0.025215808,0.999679524,1
1,0.204081633,10,5.102040816,0,0.02555287,0.02287178,0.999411793,1
2,0.408163265,10,5.102040816,0,0.031422281,0.016708264,0.999366536,1
3,0.612244898,10,5.102040816,0,0.023636592,0.016711849,0.999580925,1
4,0.816326531,10,5.102040816,0,0.023636592,0.016711849,0.999580925,1
5,1.020408163,10,5.102040816,0,0.014541274,0.007676164,0.999864805,1
6,1.224489796,10,5.102040816,0,-0.027814848,-0.000404687,0.99961301,1
7,1.428571429,10,5.102040816,0,-0.021698472,-0.006356677,0.999744352,1
8,1.632653061,10,5.102040816,0,-0.069747552,-0.006342689,0.99754451,1
9,1.836734694,10,5.102040816,0,-0.069747552,-0.006342689,0.99754451,1
10,2.040816327,10,5.102040816,0,-0.079820976,-0.017164873,0.996661416,1
11,2.244897959,10,5.102040816,0,-0.177576372,-0.025148944,0.983785628,1
12,2.448979592,10,5.102040816,0,-0.17071682,-0.030993854,0.984832548,1
13,2.653061224,10,5.102040816,0,-0.267119002,-0.030312633,0.963186681,1
14,2.857142857,10,5.306122449,0,-0.288567764,-0.032746636,0.956899317,1
15,3.06122449,10,5.306122449,0,-0.304121348,-0.046212098,0.951511769,1
16,3.265306122,10,5.510204082,0,-0.455939668,-0.030251911,0.889496397,1
17,3.469387755,10,5.510204082,0,-0.461092141,-0.043621955,0.886279393,1
18,3.673469388,10,5.714285714,0,-0.536589179,-0.032001578,0.843236593,1
19,3.87755102,10,5.714285714,0,-0.542179921,-0.010096021,0.840201764,1
20,4.081632653,10,5.918367347,0,-0.56256068,-0.010475535,0.82668963,1
21,4.285714286,10,6.12244898,0,-0.596819309,0.002613154,0.802371413,1
22,4.489795918,10,6.326530612,0,-0.626812015,0.007841396,0.779131061,1
23,4.693877551,10,6.326530612,0,-0.626812015,0.007841396,0.779131061,1
24,4.897959184,10,6.530612245,0,-0.624877177,0.025139315,0.780318223,1
25,5.102040816,10,6.734693878,0,-0.620995389,0.021548629,0.783517953,1
26,5.306122449,10,6.93877551,0,-0.629714603,0.022553035,0.776499117,1
27,5.510204082,10,7.142857143,0,-0.619774765,0.038685476,0.783825666,1
28,5.714285714,10,7.142857143,0,-0.619774765,0.038685476,0.783825666,1
29,5.918367347,10,7.346938776,0,-0.595948827,0.041059607,0.801972009,1
30,6.12244898,10,7.551020408,0,-0.574146381,0.054130143,0.816961358,1
31,6.326530612,10,7.551020408,0,-0.489613108,0.0576465,0.870032118,1
32,6.530612245,10,7.755102041,0,-0.489613108,0.0576465,0.870032118,1
33,6.734693878,10,7.755102041,0,-0.464705658,0.076572435,0.882148124,1
34,6.93877551,10,7.959183673,0,-0.295364211,0.058962627,0.953563523,1
35,7.142857143,10,7.959183673,0,-0.293267979,0.05581318,0.954399697,1
36,7.346938776,10,7.959183673,0,-0.172473048,0.057505267,0.983334222,1
37,7.551020408,10,8.163265306,0,-0.171009882,0.05871393,0.983518325,1
38,7.755102041,10,8.163265306,0,-0.155266342,0.044174284,0.986884489,1
39,7.959183673,10,8.163265306,0,-0.062638641,0.044628767,0.99703795,1
